ticket,symbol,direction,lot_size,entry_price,exit_price,stop_loss,take_profit,profit_usd,profit_pips,duration_seconds,open_time,close_time,entry_regime,entry_volatility,entry_session,entry_spread,entry_atr,smc_signal,smc_confidence,smc_reason,smc_fvg_detected,smc_ob_detected,smc_bos_detected,smc_choch_detected,ml_signal,ml_confidence,market_quality,market_score,dynamic_threshold,exit_reason,exit_regime,exit_ml_signal,exit_ml_confidence,balance_before,balance_after,equity_at_entry,features_at_entry,features_at_exit,bot_version,trade_mode
151851731440,XAUUSD,UNKNOWN,0.01,4450.88,4450.88,0,0,2.75,0.0,0,2026-03-27T14:30:22.230520+07:00,2026-03-27T14:30:22.230520+07:00,,,,0,0,,0,,False,False,False,False,,0,,0,0,take_profit,low_volatility,SELL,0.8177143633365631,99584.48,99587.23,0,{},{},2.1,SMC-ONLY
151851767000,XAUUSD,SELL,0.01,4451.67,4449.96,0,4441.68,0.9,106.9999999999709,43,2026-03-27T14:30:16.556825+07:00,2026-03-27T14:31:00.548367+07:00,low_volatility,medium,unknown,17,0,SELL,0.7238571816682815,SMC-ONLY: Bearish FVG | ML AGREES (18%),True,False,False,False,SELL,0.8177143633365631,excellent,80,0.6,take_profit,low_volatility,SELL,0.8177143633365631,99584.48,99588.13,99586.53,{},{},2.1,SMC-ONLY
151851781302,XAUUSD,SELL,0.01,4451.46,4449.7,0,4442.91,1.53,171.00000000000364,22,2026-03-27T14:34:02.662902+07:00,2026-03-27T14:34:24.679834+07:00,low_volatility,medium,unknown,17,0,SELL,0.7910999089479447,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (27%),True,False,True,True,SELL,0.7321998178958893,excellent,80,0.6,take_profit,low_volatility,SELL,0.7321998178958893,99588.13,99589.66,99586.18,{},{},2.1,SMC-ONLY
151851775317,XAUUSD,SELL,0.01,4449.73,4454.99,0,4438.584999999999,-5.36,-518.99999999996,301,2026-03-27T14:32:01.519370+07:00,2026-03-27T14:37:02.909885+07:00,low_volatility,medium,unknown,17,0,SELL,0.8034230127930642,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (24%),True,False,True,True,SELL,0.7568460255861282,excellent,80,0.6,position_limit,low_volatility,SELL,0.7027861177921295,99588.13,99584.23,99587.95,{},{},2.1,SMC-ONLY
151851797421,XAUUSD,SELL,0.01,4453.56,4452.22,0,4446.344020204108,1.02,118.99999999995998,87,2026-03-27T14:38:03.992648+07:00,2026-03-27T14:39:31.385412+07:00,low_volatility,medium,unknown,17,0,SELL,0.7419833540916443,AI OVERRIDE: ML highly confident (74%),False,False,False,False,SELL,0.7419833540916443,excellent,80,0.6,take_profit,low_volatility,SELL,0.7955590486526489,99584.23,99585.25,99584.06,{},{},2.1,SMC-ONLY
151851841760,XAUUSD,SELL,0.01,4452.02,4450.6,0,4445.28498762719,2.27,243.99999999995998,87,2026-03-27T14:49:11.690710+07:00,2026-03-27T14:50:38.947918+07:00,low_volatility,medium,unknown,17,0,SELL,0.7647946774959564,AI OVERRIDE: ML highly confident (76%),False,False,False,False,SELL,0.7647946774959564,excellent,80,0.6,take_profit,low_volatility,SELL,0.6903535723686218,99585.25,99587.52,99585.03,{},{},2.1,SMC-ONLY
151851849016,XAUUSD,SELL,0.01,4450.12,4447.08,0,4441.555,2.75,293.0000000000291,81,2026-03-27T14:51:01.549430+07:00,2026-03-27T14:52:23.293182+07:00,low_volatility,medium,unknown,17,0,SELL,0.731711745262146,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (29%),True,False,True,True,SELL,0.713423490524292,excellent,80,0.6,take_profit,low_volatility,SELL,0.7460772693157196,99587.52,99590.21,99587.84,{},{},2.1,SMC-ONLY
151851858864,XAUUSD,SELL,0.01,4447.35,4444.92,0,4434.630000000001,2.23,238.0000000000109,81,2026-03-27T14:53:02.592398+07:00,2026-03-27T14:54:24.364367+07:00,low_volatility,medium,unknown,17,0,SELL,0.7196516865491867,SMC-ONLY: Bearish FVG | ML AGREES (19%),True,False,False,False,SELL,0.8093033730983734,excellent,80,0.6,take_profit,low_volatility,SELL,0.8008475601673126,99590.21,99592.39,99590.04,{},{},2.1,SMC-ONLY
151851868476,XAUUSD,SELL,0.01,4444.21,4446.87,0,4430.485000000001,-2.79,-261.9999999999891,300,2026-03-27T14:55:03.324796+07:00,2026-03-27T15:00:03.920361+07:00,low_volatility,medium,unknown,17,0,SELL,0.7144347012043,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (42%),True,False,True,True,HOLD,0.5788694024085999,good,75,0.65,position_limit,low_volatility,SELL,0.7963470220565796,99592.39,99589.61,99592.22,{},{},2.1,SMC-ONLY
151851886634,XAUUSD,SELL,0.01,4445.78,4447.25,0,4434.41,-1.81,-146.00000000000364,213,2026-03-27T14:59:03.783032+07:00,2026-03-27T15:02:37.491414+07:00,low_volatility,medium,unknown,17,0,SELL,0.675844419002533,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (50%),True,False,True,True,HOLD,0.5016888380050659,good,75,0.65,trend_reversal,low_volatility,SELL,0.6405204236507416,99592.39,99587.8,99590.53,{},{},2.1,SMC-ONLY
151851894922,XAUUSD,SELL,0.01,4446.54,4445.47,0,4439.495255423722,0.93,105.99999999994907,131,2026-03-27T15:01:04.780438+07:00,2026-03-27T15:03:16.667252+07:00,low_volatility,high,unknown,17,0,SELL,0.771226555109024,AI OVERRIDE: ML highly confident (77%),False,False,False,False,SELL,0.771226555109024,excellent,85,0.6,take_profit,low_volatility,SELL,0.7983437925577164,99589.61,99588.9,99588.53,{},{},2.1,SMC-ONLY
151851907545,XAUUSD,SELL,0.01,4446.73,4443.64,0,4438.545471836562,3.2800000000000002,309.99999999994543,16,2026-03-27T15:03:05.616062+07:00,2026-03-27T15:03:22.309119+07:00,low_volatility,high,unknown,17,0,SELL,0.7983437925577164,AI OVERRIDE: ML highly confident (80%),False,False,False,False,SELL,0.7983437925577164,excellent,85,0.6,take_profit,low_volatility,SELL,0.7983437925577164,99587.8,99592.17,99587.25,{},{},2.1,SMC-ONLY
151851912408,XAUUSD,SELL,0.01,4446.29,4444.34,0,4437.90518341584,1.2,136.9999999999891,71,2026-03-27T15:04:06.730966+07:00,2026-03-27T15:05:17.942372+07:00,low_volatility,high,unknown,17,0,SELL,0.7477966845035553,AI OVERRIDE: ML highly confident (75%),False,False,False,False,SELL,0.7477966845035553,excellent,85,0.6,take_profit,low_volatility,SELL,0.7250851094722748,99592.17,99593.34,99592.0,{},{},2.1,SMC-ONLY
151851932574,XAUUSD,SELL,0.01,4446.1,4445.16,0,4437.3939625794455,1.05,122.00000000002547,208,2026-03-27T15:08:01.972947+07:00,2026-03-27T15:11:30.075849+07:00,low_volatility,high,unknown,17,0,SELL,0.7411287724971771,AI OVERRIDE: ML highly confident (74%),False,False,False,False,SELL,0.7411287724971771,good,75,0.65,take_profit,low_volatility,SELL,0.787195697426796,99593.34,99594.39,99593.17,{},{},2.1,SMC-ONLY
151851943379,XAUUSD,SELL,0.01,4446.01,4445.48,0,4436.810930302352,0.53,69.00000000005093,317,2026-03-27T15:10:02.796148+07:00,2026-03-27T15:15:20.040226+07:00,low_volatility,high,unknown,17,0,SELL,0.755524069070816,AI OVERRIDE: ML highly confident (76%),False,False,False,False,SELL,0.755524069070816,good,75,0.65,take_profit,medium_volatility,SELL,0.8335298299789429,99593.34,99594.92,99593.21,{},{},2.1,SMC-ONLY
151851954032,XAUUSD,SELL,0.01,4446.42,4443.36,0,4437.322814439206,2.94,311.0000000000582,255,2026-03-27T15:13:03.700783+07:00,2026-03-27T15:17:19.054759+07:00,low_volatility,high,unknown,17,0,SELL,0.8422615826129913,AI OVERRIDE: ML highly confident (84%),False,False,False,False,SELL,0.8422615826129913,good,75,0.65,take_profit,medium_volatility,SELL,0.645298421382904,99594.39,99597.86,99593.75,{},{},2.1,SMC-ONLY
151851976815,XAUUSD,SELL,0.01,4438.83,4442.72,0,4422.645,-3.62,-344.00000000005093,304,2026-03-27T15:18:03.487121+07:00,2026-03-27T15:23:08.378541+07:00,medium_volatility,high,unknown,17,0,SELL,0.6938804537057877,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (36%),True,False,True,True,SELL,0.6377609074115753,excellent,92,0.6,position_limit,medium_volatility,SELL,0.7719064056873322,99597.86,99594.19,99597.69,{},{},2.1,SMC-ONLY
151852004913,XAUUSD,SELL,0.01,4441.43,4437.48,0,4429.145,3.69,386.0000000000582,11,2026-03-27T15:24:03.518446+07:00,2026-03-27T15:24:14.562944+07:00,medium_volatility,high,unknown,17,0,SELL,0.7737371474504471,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (20%),True,False,True,True,SELL,0.7974742949008942,excellent,95,0.6,take_profit,medium_volatility,SELL,0.7974742949008942,99594.19,99597.87,99592.67,{},{},2.1,SMC-ONLY
151851987315,XAUUSD,SELL,0.01,4440.18,4436.9,0,4426.02,3.25,326.0000000000218,256,2026-03-27T15:20:03.517678+07:00,2026-03-27T15:24:20.174069+07:00,medium_volatility,high,unknown,17,0,SELL,0.7182973921298981,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (31%),True,False,True,True,SELL,0.6865947842597961,excellent,92,0.6,take_profit,medium_volatility,SELL,0.7974742949008942,99597.86,99601.12,99596.64,{},{},2.1,SMC-ONLY
151852013439,XAUUSD,SELL,0.01,4437.34,4436.04,0,4418.92,0.86,102.00000000004366,77,2026-03-27T15:25:04.511261+07:00,2026-03-27T15:26:21.937749+07:00,medium_volatility,high,unknown,17,0,SELL,0.791366595029831,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (27%),True,False,True,True,SELL,0.7327331900596619,excellent,95,0.6,take_profit,medium_volatility,SELL,0.6811628639698029,99601.12,99601.95,99600.95,{},{},2.1,SMC-ONLY
151852021384,XAUUSD,SELL,0.01,4434.97,4431.7,0,4412.995000000001,3.07,323.9999999999782,88,2026-03-27T15:26:05.416520+07:00,2026-03-27T15:27:33.675487+07:00,medium_volatility,high,unknown,17,0,SELL,0.7655814319849015,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (32%),True,False,True,True,SELL,0.6811628639698029,excellent,92,0.6,take_profit,medium_volatility,SELL,0.7108538746833801,99601.12,99605.01,99602.9,{},{},2.1,SMC-ONLY
151852028536,XAUUSD,SELL,0.01,4434.06,4432.96,0,4410.720000000001,0.81,106.9999999999709,38,2026-03-27T15:27:06.272370+07:00,2026-03-27T15:27:44.833305+07:00,medium_volatility,high,unknown,17,0,SELL,0.7804269373416901,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (29%),True,False,True,True,SELL,0.7108538746833801,excellent,95,0.6,take_profit,medium_volatility,SELL,0.7108538746833801,99601.95,99605.84,99602.52,{},{},2.1,SMC-ONLY
151852042216,XAUUSD,SELL,0.01,4433.71,4430.59,0,4409.845,3.08,311.9999999999891,343,2026-03-27T15:29:01.602236+07:00,2026-03-27T15:34:45.504400+07:00,medium_volatility,high,unknown,17,0,SELL,0.8170428678393364,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (22%),True,False,True,True,SELL,0.7840857356786728,excellent,95,0.6,take_profit,low_volatility,SELL,0.8381446003913879,99605.84,99608.94,99605.67,{},{},2.1,SMC-ONLY
151852055843,XAUUSD,SELL,0.01,4434.03,4430.59,0,4410.6449999999995,3.23,326.9999999999527,164,2026-03-27T15:32:01.700394+07:00,2026-03-27T15:34:45.702407+07:00,low_volatility,high,unknown,17,0,SELL,0.8198771134018898,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (21%),True,False,True,True,SELL,0.7897542268037796,excellent,85,0.6,take_profit,low_volatility,SELL,0.8381446003913879,99605.84,99612.2,99605.35,{},{},2.1,SMC-ONLY
151852070687,XAUUSD,SELL,0.01,4431.49,4430.23,0,4404.295,0.63,119.00000000005093,86,2026-03-27T15:35:02.839782+07:00,2026-03-27T15:36:29.781551+07:00,low_volatility,high,unknown,17,0,SELL,0.7219862097501755,SMC-ONLY: Bearish FVG | ML AGREES (29%),True,False,False,False,SELL,0.713972419500351,excellent,85,0.6,take_profit,low_volatility,SELL,0.7537020742893219,99612.2,99612.54,99612.03,{},{},2.1,SMC-ONLY
151852111151,XAUUSD,SELL,0.01,4438.22,4435.45,0,4429.076120138842,1.6099999999999999,177.99999999997453,267,2026-03-27T15:43:02.421525+07:00,2026-03-27T15:47:29.910156+07:00,low_volatility,high,unknown,29,0,SELL,0.7767641097307205,AI OVERRIDE: ML highly confident (78%),False,False,False,False,SELL,0.7767641097307205,excellent,85,0.6,take_profit,low_volatility,SELL,0.7298331558704376,99606.63,99608.23,99606.34,{},{},2.1,SMC-ONLY
151852121783,XAUUSD,SELL,0.01,4434.68,4432.62,0,4427.920936476434,2.29,244.9999999999818,519,2026-03-27T15:45:02.509220+07:00,2026-03-27T15:53:41.599358+07:00,low_volatility,high,unknown,17,0,SELL,0.6931438544392585,SMC-ONLY: Bearish FVG | ML AGREES (24%),True,False,False,False,SELL,0.7562877088785172,excellent,85,0.6,take_profit,low_volatility,SELL,0.677914559841156,99606.63,99610.52,99608.45,{},{},2.1,SMC-ONLY
151852139425,XAUUSD,SELL,0.01,4435.0,4431.83,0,4426.199920704723,2.88,313.0000000000109,366,2026-03-27T15:48:03.253779+07:00,2026-03-27T15:54:10.080368+07:00,low_volatility,high,unknown,19,0,SELL,0.7499026358127594,AI OVERRIDE: ML highly confident (75%),False,False,False,False,SELL,0.7499026358127594,excellent,85,0.6,take_profit,low_volatility,SELL,0.632300078868866,99608.23,99613.52,99607.96,{},{},2.1,SMC-ONLY
151852171905,XAUUSD,SELL,0.01,4432.06,4428.4,0,4420.300000000001,3.31,371.00000000000364,22,2026-03-27T15:54:04.441596+07:00,2026-03-27T15:54:26.560104+07:00,low_volatility,high,unknown,17,0,SELL,0.6311500394344329,SMC-ONLY: Bearish FVG | ML AGREES (37%),True,False,False,False,SELL,0.632300078868866,excellent,82,0.6,take_profit,low_volatility,SELL,0.632300078868866,99610.52,99616.75,99613.03,{},{},2.1,SMC-ONLY
151852179445,XAUUSD,SELL,0.01,4432.09,4428.37,0,4420.375000000001,3.35,352.00000000004366,157,2026-03-27T15:55:05.310865+07:00,2026-03-27T15:57:42.722569+07:00,low_volatility,high,unknown,17,0,SELL,0.6409391486644744,SMC-ONLY: Bearish FVG | ML AGREES (35%),True,False,False,False,SELL,0.651878297328949,excellent,82,0.6,take_profit,low_volatility,SELL,0.6246056854724884,99616.75,99620.13,99616.58,{},{},2.1,SMC-ONLY
151852193627,XAUUSD,SELL,0.01,4430.38,4426.63,0,4416.1,3.22,343.0000000000291,54,2026-03-27T15:58:05.519841+07:00,2026-03-27T15:58:59.920909+07:00,low_volatility,high,unknown,17,0,SELL,0.6992723295092582,SMC-ONLY: Bearish FVG | ML AGREES (23%),True,False,False,False,SELL,0.7685446590185165,excellent,85,0.6,take_profit,low_volatility,SELL,0.7685446590185165,99620.13,99623.32,99619.96,{},{},2.1,SMC-ONLY
151852207845,XAUUSD,SELL,0.01,4425.41,4428.56,0,4403.675,-3.43,-326.0000000000218,306,2026-03-27T16:00:06.146512+07:00,2026-03-27T16:05:12.666711+07:00,low_volatility,high,unknown,19,0,SELL,0.7601003274321556,SMC-ONLY: Bearish BOS/CHoCH + FVG | ML AGREES (23%),True,False,True,True,SELL,0.7702006548643112,excellent,85,0.6,position_limit,medium_volatility,SELL,0.7781305015087128,99623.32,99619.9,99623.15,{},{},2.1,SMC-ONLY
151852220586,XAUUSD,SELL,0.01,4427.94,4427.82,0,4418.219845099086,0.54,71.00000000000364,191,2026-03-27T16:02:06.478106+07:00,2026-03-27T16:05:18.311541+07:00,medium_volatility,high,unknown,17,0,SELL,0.7197374701499939,AI OVERRIDE: ML highly confident (72%),False,False,False,False,SELL,0.7197374701499939,excellent,90,0.6,take_profit,medium_volatility,SELL,0.7781305015087128,99623.32,99620.51,99619.75,{},{},2.1,SMC-ONLY
151852495939,XAUUSD,SELL,0.01,4429.48,4429.45,0,4422.799432821414,0.54,9.99999999994543,312,2026-03-27T16:54:34.593988+07:00,2026-03-27T16:59:47.105672+07:00,low_volatility,high,unknown,17,0,SELL,0.7458967566490173,AI OVERRIDE: ML highly confident (75%),False,False,False,False,SELL,0.7458967566490173,excellent,80,0.6,take_profit,low_volatility,SELL,0.6494584083557129,99620.51,99620.98,99620.34,{},{},2.1,SMC-ONLY
